a newes,s. nöwis.,
Chaschte·pusseta ,"(f, -e): Kastenwiege für gr. Bébés (Ta1). ↑Wäägeli.",
chätzele,s. chätzere.,
chatze·stùùrn ,(k. Steig.): total schwindlig (Ta1). SYN: psùffe.,
Cheerza ,"(f, -e): Kerze (allg.); ↑ Cheerzestaaḷ, Cheerzeständer, Täägḷ, Tahe. ZSS: Pfùtzercheerzli, Wättercheerzli.","[auch Chöörza (Üb), Dim. Cheerzli (allg.)]"
cheese,"(g-et): käsen, Käse herstellen (allg. / wh 211); dobe hii si gcheeset ù gnydlet, gouchnet ù zigeret (pm 14); ▲wärche. ↑ nydle, ouchne, zigere. ZSS: uus~.",
Chees·roùft,"(m, -öù-): Käserinde, harte Kruste: het a bitz Brot gnoo ùn as Cheesröiftli (pm 61).","[auch Cheesröiftli, n (pm)]"
Cheib, s. Chiib.,
Chemi·tǜǜrgg,"(m, -e): Rauchwurst: ggrǜǜckti Chömitǜǜrgge (humor. / Üb1). SYN: Wùùrscht.",[auch Chömitǜǜrgg (Üb1)]
chette,"(g-et): durch Lockruf herbeilocken, bes. Haustiere (pb S-1a); [der Wǜrt] het pfüüferlet, ass wenn er de Tube chetteti (vs GuC91); ↑antere.","[zu ahd quetten, chetten 'anreden, begrüssen' (Id) ◆ Id 3,569: BE-OL, FR, GR, Visp]"
Chiib,"(m, -e): ❶ Aas, Kadaver (im 20. Jh. †); ❷ übertr. a) abschätzig für eine Person (allg. / wh 174); vgl. Anhang 1. ZSS: Chätzersch~, Plampi~, Sackerdyys~, Sackerbränts~, Schnùder~, Sou~, Tondersch~. b) bewundernd für gewitzte Person (Ss2); i de Schuel het dää nie nöwis ggwǜsst, aber dernäbe isch er a Chiib gsyy (pb Isi52); vgl. Anhang 1. ZSS: Mylyoone~, Sǜbe~, Tondersch~, Tuusig~. c) abschätzig für Tiere, Dinge (Ta1 Re1); d) Ohrfeige: a Chiib a Grinn (We1); SYN: Flära. e) Alkohol-Rausch (Gu1 Dü1 Re1); SYN: Stǜǜrni. f) (ohne Art.) Pech, dumme Sache: dasch itz no Chiib (We1); as sygi halt scho Chiib (ar 51); SYN: Seich. ↑Ùngfeeḷ. • Ra.: waas gflegerete Chiips (...) tryybe di Wyyber? (ar 78).","[auch Cheib (Gu Dü Wü1 Üb2 Fr1) ◆ mhd keibe 'Leichnam, Aas; Mensch, der den Galgen verdient' ◆ Id 3,100: 2.d) nur BE-OL]"
Chindsggi,"(m, -eni): Kindergarten (neu / Gu1 Üb2). SYN: Gginggelischuu.",
Chiischt,"(m, -e): Kartoffelkeim (Dü1 Gi2 / wh 183). SYN: Bchiischta.","[auch Chiischta, f (Dü1 Gi2) ◆ ahd (vrumi-)ch�st 'Erstling' (Id 8,543; dwb)]"
chindlich,"(-er, -scht): kindlich. ↑jùng.",
Chiubi, s. Chǜḷbi.,
Chläbb·ggusching,"(m, -e): angeheirateter Cousin, Mann der Cousine: [das] wa danuh mim Chläbkusching passiert ischt (FN 12.12.1908); het mit hübsche Rubänleni u Tschöggelini mim Chläbkuschings Mähra verzieret (FN 28.1.1909).",
Chlämmerli,"(n, -eni/-ini): (Wäsche-)Klammer (sds 7,92: Dü He Pl Ss); SYN: Chlempa. ↑Wäsch.","[urspr. Dim. von Chlammera ◆ Id 3,644]"
Chleger,"(m, unveränd.): Kläger (wh 184).",[heute meist Chlääger ]
Chliid,"(n, -er): ❶ Gewand (wh 186); bringet huerti 's best Chleid o legget ums a (Stalder 1819: UL); SYN: Pantḷ. TEILE: Brasseli, Brǜschtli, Buesa, Chraage, Eermḷ, Fageta, Füeteri, Flick, Miederbann. ZSS: Tùùpfchliidli. ↑ Faane, Rùmpf, Schranz, Trǜtschfaade. ❷ Kleid, Damenkleid (Dü2 Ta2); ❸ Kleidung (Pl.) (wh 233); SYN: Bchliidig. • Ra.: ùs de Chliider kye extrem abnehmen: Wùli isch halb ùs de Chliider kyyta gsy (pb Spät133); ↑abnää.","[auch Chleid (Gu / Stalder), Dim. Chliidli (Ta2)]"
Chliiper,"(m, unveränd.): a) Haarspange, Kamm im Haar (Pl1 Ss1); de Chlypper isch ara ùs ùm Ggägger kyyt (pb S-7); SYN: Ackliiper. ↑ Frysuur, Haar. b) Läusekamm (Ta1); SYN: Luuser.","[auch Kliiperli (Pl1), Chlypper (pb) ◆ zu chliipe ◆ Id 3,615]"
Chlöpf·agerschta,"(f, -e): abschätzig für Klatschbase, Schwätzerin (Gu SE1 / wh 90); a jùschti Chlöpfägerschta, wa ds ganz Dorf hetti chene zùnderobsi cheere (Aeby 109); nai syge ra iinisch ason a Chlöpfagerschta ga rätsche, är ggseegi d Serviertöchter gäär (pb Isi42); vgl. Anhang 1.","[auch Chlepfagerschta (Gu UL1 We1 Pl1 Ss1 / wh), Chlöpfägerschta (Aeby) ◆ Agerschta wegen des hechelnden Rufs der Elster, Chlöpf- von mhd klepfen 'knallen', übertr. 'schwatzen' (Id 3,671) ◆ fehlt so in Ma-Wbb]"
Chlùntscheli,"(n, -eni): Fadenknäuel (Pl1; sds 7,83: Pl / wh 170); SYN: Chlùngla, Chrùgla, Chrùntscheli, Pongpong. ↑ Chnùbḷ, Röli.","[auch Chlùntschili (sds: Pl) ◆ zu schwzdt Chlunge 'Knäuel', mit dreifachem Dim-suffix -tsch (Hodler 1911,124) + -el + -i; vgl. hochdt Klüngel (Id 3,658) ◆ Id 3,662: nur WS; Stucki 1917,243]"
chlyy,"(-ner/chlynner, -scht/ chlynscht): klein (allg.; sds 4,163 / wh 60, 109, 166, 191); ANT: grooss. ↑ myggerig, tschùggeret, vùrzwoorgget. • Ra.: da längt my Chlynschta hohe Karte mit kl. Trumpf stechen beim Jass (Dü1); ↑Jass.","[auch chlynn (wh 191: nur Adv.; als Adj. jung, aus flekt. Form wieder eingeführt) ◆ mhd klein(e) 'zierlich, fein'; -yy- wohl hyper-aleman ◆ Id 3,650]"
Chlyy·vee,"(n, kein Pl.): Kleinvieh (Ta1; sds 8,2: Gu We). SYN: Gficht.","[Id 1,651]"
chnattere,"(g-et): knattern, scheppern (Dü2). SYN: tschädere.",
Chnoche·gsteḷ,"(n, unveränd.): Skelett: ds Chnochegstell ù dr gross Lempe sy no plǜbe (pm 108); SYN: Ggrǜpp.",
Chnore,"(m, unveränd.): ❶ astiges Holzstück (Gi1); SYN: Chnǜder. ❷ Erdknollen (Gi1); SYN: Chnǜder.","[mhd knorre 'Knoten, Auswucks, zB an Bäumen, Körper'; vgl. hochdt knorrig ]"
chnöǜlinge ,"(Part.): kniend, auf den Knien (wh 77). ↑sitzlinge.",[zu Chnöy; zu -linge s. blǜntslinge ]
chnǜtsche,"(g-t): ❶ a) zerquetschen (We2); ZSS: vùr~. b) aufquetschen, knacken (wh 54); ZSS: uuf~. ❷ essen (Gi2); SYN: ässe. ❸ rennen, davonlaufen: zùm Tüüfḷ hii chnǜtsche (Pl1); ↑springe.","[mhd knützen, knüsten 'zusammendrücken, zerquetschen' ◆ Id 3,772]"
Choch, s. Chooch.,
Choch·wäse,"(n, unveränd.): gemauerter Kochherd mit Eisenplatte (sds 7,156: Pl). SYN: Potasche.",[Wort u. Ding prakt. †]
Chöḷti,"(f, -ene): Kälte (wh 94); ▲Wätter. ANT: Weermi. ↑ Gfröörni, Rüüchi.","[auch Chouti (wh: ""jüngste Gen. in SE"" / heute nicht mehr)]"
chööle,"(g-et): ❶ Köhlerarbeit verrichten, gr. Holzstücke zu Holzkohle verbrennen (Gu1 Dü1 Wü1 Ta1 We1 Pl1); [är het] i de Grääbe wùhi Erle ghoue, fǜr schi z chööle (pm 38); ↑wärche. ❷ an Waldrand od. Hecken Laub sammeln als Futter für Tiere, bes. Kleinvieh (Üb1 Re1 / wh 152); ▲zämesammle. SYN: lùùbe1. ↑frässe.","[auch choole (We1 Re1), chöölere (Fr1) ◆ Wort u. Tätigkeit bald † ◆ 1. zu Choola; 2. zu Chooḷ 'Kohl' ◆ Id 3,208/212; BzH 1933,39: 'Himbeerlaub als Ziegenfutter']"
Choorb ,"(m, -öö-): Korb, ein- od. zweihenkliger Hand-, Ernte-, Wäsche-, Verpflegungskorb (allg.; sds 6,136: Gu Ta Ss; sds 7,62 / wh 181); SYN: Chratte. ZSS: Ablääs~, Bieni~, Bogechöörbli, Frǜchte~, Ggwann~, Komissyoonechöörbli, Löffḷchöörbli, Riis~, Stängeli~, Techḷchöörbli, Waschtḷ~, Wydli~, Ynterniertechöörbli, Znüünichöörbli. • Ra.: heschù ds Chöörbli by der? um die vielen «Kartoffeln», die man beim Putzjass eingefangen hat, heimzutragen (Ta1); ↑Jass.","[Dim. Chöörbli (Ta1) ◆ Id 3,451]"
Choorgabla ,"(f, -e): zweizinkige Garbengabel (sds 8,195); ↑Äärnt.","[auch Choorgäbeli (sds: UL He Gi), Choorngabla (sds: See) ◆ Id 2,59]"
chöpfig ,"(-er, -scht): störrisch, eigensinnig (wh 75). SYN: stettig.",
Chöschtibraater ,"(m, unveränd.): Marroni-Verkäufer: dernäbe isch dr Chöschtibraater (pm 19). ▲Pruef.",
Chotz·chreeja,"(f, -e): abschätzig für hässliche Frau (Ta2); vgl. Anhang 1.",
Chraauer ,"(m, unveränd.): Teigschaber (sds 7,107: Ta). SYN: Schǜrer.",
Chräli,"(n, -eni): Kügelchen der Halskette, Glasperle, Koralle (wh 71, 136). ↑Stiindli.","[ev. zu mhd koralle 'Koralle' (Id) ◆ Id 3,807]"
Chränzli·tracht,"(f, -e): Kränzlitracht, Prozessionstracht der Mädchen (heute noch in Dü Ta He); SYN: Chrützgangstracht. ↑Bruuch.",[vgl. Zeichnung S.120]
Chreeja,"(f, -e): Krähe, Rabe (neu / Gu2 Wü2 Üb2); dr Vater muess seeije ù ds Buebeli weeije de hùngrige Chreeije (pb Verse44); SYN: Ggaagger.",
Chreezi·pùḷver,"(n, kein Pl.): nur in • Ra.: Chreezipùḷver mache etwas/jmdn. auf den Schultern tragen (sds 5,76: Wü Ta Pl); ↑chreezipùggle.","[† ◆ Id 3,927]"
chriege,"(g-et/g-t): ❶ schimpfen, schelten (Ta1 We1 OL / wh 69, 211); oneso chriegt menga Mensch (...) wil er zvel zahle soll (FZ 11.2.1865); i ha de Bueb gchriegt (Si2); der Pfarrer hed hüt d'Buobe g'chrieget (Id: FR-OL); ▲rede. SYN: baḷge, brüele, bugere, chätzere, ege, hùdle, senkle, uufbigääre, uus·cheere, zangge. ↑ abchanzle, abpùtze, bredige, (z Egge) wyyse, (ùber ds Gfrääs) faare, Fassoon (i d ~ chlöpfe), flegere, fǜǜrhaa, (i ds Gebätt / i d Hüpla / Manga / Tresammla / Zanga / Zwinga) nää, Konsyne (gää), (d Lewytte) lääse, liid (sääge/tue), lewytte, mente, Oorning (sääge), (d Chùttle) pùtze, (i ds Ggwǜsse) rede, Reprosche (mache), (d Poschtoornig) sääge, sprätzle, (z Bode/Egge) stöle, uusflegere, uusrüeffe, vùrwyyse, wättere, (d Hüener) yytue. ❷ streiten, zanken, Krieg führen (Gu Dü Wü2 Üb Ta2 He We / wh 69); sia het ging epis mit ne z chriege ghääbe (pb Verse31); SYN: chäre.","[mhd kriegen 'sich anstrengen; disputieren; streiten; Krieg führen' ◆ Id 3,797: Bed.1 in Alpen]"
Chriese·pfanechueche,"(m, -üe-): Pfannkuchen mit Kirschen (Thürler). ↑Pfouchueche.","[BzH 1933,42]"
chriisne,"(g-et): Reisig sammeln, holen (pb S-B). ▲riiche, ▲zämesammle.",
chrisme,"(g-et): firmen (sds 5,4 / wh 31, 48, 211); i de fǜfti Klass isch er gchrismeta cho (fa Religion).","[mhd kris(e)men; aus lat chrisma 'Salbung, Salböl' ◆ Id 3,855]"
Chröömi,"(n, -eni/-ini): ❶ a) Mitbringsel vom Einkauf (Dü1 Fr1 Gi2 Ss1); SYN: Chraam. b) Süssigkeit, Naschwerk (Üb1 Fr2 He1 Ss1); ▲Spyys. SYN: Süessigkiit. U-BEGRIFFE: Bääredräck, Chätschgùmm, Guetzi, Lǜli, Schùggela, etc. ❷ Kiste mit allerlei Dingen (Ta1); SYN: Chraam.",[auch Chröömli (Fr2 Ta1 Gi2 Ss1) ◆ zu Chraam; doch -öö- aussergewöhnl. für FR; ev. von LU]
Chrott,"(m, -e): ❶ Kröte (Pl1); ▲Tier. ❷ übertr. auf Menschen, a) Kosename, oft Dim. (wh 71, 129; hälf ter Gott, chlyyna Chrott, we dù muesch arniesse (...) alipott, grossa Chrott, tue dys Härz guet pschliesse (pb Verse49f); vgl. Anhang 1. b) Schimpfwort: ihr seid doch uverschant Chrotte, as düecht mi i sötte n' uch Grine zäme schlah (vs 1913,5); vgl. Anhang 1.","[heute meist Chrotta, f (sds 6,250: Ta / wh 189), Dim. Chrottli (wh: ""ohne UL"") ◆ mhd krot, m 'Kröte; zurückgebliebenes Kind' (Id) ◆ Id 3,876]"
Chruegeta,"(f, -e): Menge, die in einen Krug passt: bald isch a Chruegeta Schwarza ùf ùm Tǜsch gsy (pm 73); ↑ Blatteta, Mengi, Tùmmerta.",[zu Chrueg; zu -eta s. Choorbeta ]
chrǜngele,"(g-et): ringeln, zu Ringen formen (Gu1 Wü1 He2); dernäbe chùnt dr Brätzeletiig krǜngelet (pm 22); ▲brätzele. SYN: ringle. ↑chlǜngele. / ↑Tradla.","[auch chringele (Gu1) ◆ bald † ◆ zu mhd krinc, -ges 'Kreis' ◆ Id 3,833: chringle 'ringeln' (AG, SO); FR fehlt]"
Chrutt,"(n, kein Pl.): ❶ Gras (allg.; sds 6,178; 8,177 / wh 105); mit gamege Chnöw müesse ga Chrutt meeije (pb Isi62); bùrschtwachsigs Chrutt hartes, zähes Gras (Dü1); ▲Ggwächs. SYN: Graas. U-BEGRIFFE: Aḷga, Chlee, Ggjätt, Haarmùmḷ, Kanoonepùtzer, Lawattepoppḷ, Lischa, Rüüsch. TEILE: Haḷm. ↑ Blueme, Bùrscht, Matta, Ritzli,  Wasùm. ZSS: Chǜngeli~, Höy~, Schlejer~, Schwyne~, Spitz~, Taag~, Vögeli~. ❷ (bes. Pl.: Chrütter od. Dim.: Chrüttli) Heil-, Würzkraut. SYN: Chrüttli. ZSS: Cheesli~, Chöörbeli~, Esḷ~, Füüffinger~, Habichts~, Hänseli~, Mänteli~, Maggi~, Ooschter~, Sanktbenedikt~, Vùrirr~, Wäärze~. ❸ Mangold; nur in • Ra.: Chrùtt ù Chabis zäme eig. Mangold und Kohl, drunter und drüber (Ss1); SYN: Mangḷ. ↑ùberenùber.","[Dim. Chrüttli ◆ Id 3,883; vgl. SI-Wb: allz dǜrenandere wi Chrut ù Chabis ]"
Chrutt·ùùrfḷ,"(m, -le): Schimpfwort für Männer (Gu1 / pb S-7). vgl. Anhang 1.",[zu Ùùrfḷ ]
Chrützfǜrscht,"(m, -e): kreuzförmiger First, bei Vierschilter-Häusern (Haas: StAnt). ▲Tach.",
Chrütz·puur,"(m, -e): Spielkarte Treff-Bube.",
 Chryda,"(f, -e): Kreide (wh 19, 189). ▲Schryybi.",[zur Lautung s. Anhang 3.8]
Chùchla,"(f, -e): Kunkel, Holzstab mit Fasern, die zu spinnen sind (wh 98); ds Wärch a de Chùchla isch kutzets ù kùtterets (pm 11); ▲Gǜǜrbe. SYN: Chùnkḷstäcke. ↑Häḷbli. / ↑spine.","[auch Chùùchla (wh) ◆ † ◆ ahd chšchela 'Spinnrocken' ◆ Id 3,364]"
chüechle,"(g-et): ❶ Kilbiküchlein herstellen (Ta Si1 / wh 74); ▲bache. ↑fäḷtele. ❷ a) verraten, ausplaudern von Geheimnissen (allg1 Dü2 Wü2 ML2 Gi2 Re2 Ss2); ▲rede. SYN: chachle, chlöpfe, chüderle, rätsche, rätschgge, tööne, uuspladere, vùraate, vùrschnäpfe, vùrzapfe. ↑ (fǜdlewaarms ga) sääge, schnädere, vùrlafere. b) klatschen, tratschen (Ta1 Si Pl2 Ss1); SYN: hächle, uuscheere, vùrhandle, waschle. ↑ dǜǜrnää, schnable, tschädere. c) grossartig auftreten, prahlen (Wü1 Üb2 He1); ↑ plodere, uusflegere.","[zu Chueche1 ◆ Id 3,143: 'Kuchen backen', auch übertr., doch nicht 'reden']"
Chüeli1,"(n, -eni): a) kl. Kuh (wh 72); SYN: Chue. b) weibl. Kalb (sds 8,16: Gu Dü He We OL); SYN: Chaḷb, Chuechaḷbli, Chueli1.",
Chue·staḷ,"(m, -ä-): Kuhstall (sds 7,210: Ta). ↑Lääger.",
Chǜḷber,"(m, -e): etwas älteres weibl. Lamm (sds 8,69: Üb Pl). SYN: Ouli.","[auch Chiḷberli, n (sds: Pl) ◆ wohl † ◆ mhd kilbere 'Mutterlamm' ◆ Id 3,225: Alpen (FR fehlt)]"
Chǜḷch·hoof,"(m, -öö-): Friedhof (sds 5,24: SE Fr); SYN: Fridhoof, Tootehoof. ↑Chǜḷcha.","[auch Chǜlhoof (sds: Dü) ◆ Id 2,1028]"
chùmlig, s. chomlig.,
Chǜngḷ,"(m, -le): ❶ Kaninchen (allg.; sds 8,122: Üb Fr Ta Gi Pl); a par Seck vol Höuw nää fùr de Chǜngle (pb Spät99); SYN: Chùneli. ❷ spött. für übermütige, lustige Person (Dü1); vgl. Anhang 1.","[Lautung eig. Chǜng-gù ◆ lat cuninculus 'Kaninchen' ◆ Id 3,326: CH]"
Chùppela,"(f, -e): mittelgrosse Gruppe, a) Tiere, ca. 10 bis 15 Kühe, Gämsen, Vögel, etc. (Gu1 SE1); di Rinner ù Ggùschteni zùn era Chùpela hälfe zämejaage (Aeby 21); b) Horde Kinder, Jugendliche (Si1); dr Wyysù isch dr Redlifüerer gsyy van ara Chùpela jùnge Pùùrschte va syr Wäärig (pb Isi60); SYN: Tschǜppeli. ↑Ragleta.","[auch Chùppala (Re1 Si1 Ss1) ◆ veraltet ◆ mhd Koppel 'Hundemeute; Haufen; Schar'; zu lat c�pula 'Band' (Kluge) ◆ Id 3,405: 'Menge zusammengehöriger Dinge, zusammendrängende Schar']"
Chüsi,"(n, -eni): ❶ Brotrinde (sds 5,173: He); ↑Roùft. ❷ kropfartiger Auswuchs beim Brot (sds 5,172: Üb); SYN: Mǜǜrggi.","[† ◆ Herkunft unklar; ev. zu Chnüssi 'Knoten, Verdickung' (Id 3,761; dwb: Knaus) ◆ fehlt so in Ma-Wbb]"
Chùtterbùre, s. Kùtterbùre.,
Chüüer, s. Chüer.,
Chùut, s. Chǜḷt.,
Daame·rüüschli,"(n, -eni): Schwips (Gu2 Ta1 We1).",
dadǜǜr, s. dedǜǜr.,
dan,"(Art.): den, betont; Akk. Sg. mask.: e ha me weder dan Hömmel o gege dier versöndeget (Stalder 1819: OL); vgl. Anhang 2.",
däras, s. deras.,
de1,"(Part.): dann, darauf: er hät de eem va de Chnächte gschruo (Stalder 1819: OL); de hesch de Glück u Säge! (vs 1913,5); ↑denù. • Ra.: de wooḷ dann erst recht, trotzdem: aber wan es dù endlich naaggla hät, de wouw! (fa Religion).",
dedǜǜr·schlüüffe,"(-gschloffe/-gschlǜffe): durchkommen, a) durch kl. Öffnung schlüpfen können (Haas: Fr); SYN: yymege. b) bestehen, erreichen (Haas: Fr); SYN: ggriise. c) überstehen, zB Krankheit (Fr1); SYN: dedǜǜrchoo. ↑preschtiere.",
Dekaan,"(m, -ää-): Dekan: epis chan i de velig nit vùrstaa, Herr Dekaan (ar 14); SYN: Tächet.",
denn·zù·maaḷ,"(Part.): dazumal, vor langer Zeit (He1 Gi1 Ss1). SYN: dùmale.",
derglyyche,"(Part.): nur in • Ra.: derglyyche tue a) so tun als ob: [de Jäggù] het nùme de glyche ttaa, as wyn er va Siin weeri (Vaucher 25); b) sich bemerkbar machen: hät ki Mux nüt derglyyche ta (fa Religion).",[auch deglyche (Vaucher)]
 der·wyle,"(Part.): währenddessen, mittlerweile (Dü2 / wh 180); derwîle chont dî elter Sohn va dosse heem o ghört d Museg o d's Tanze (Stalder 1819: OL); SYN: dertwǜle, dedǜǜrtwǜle, wyletemm, zwǜschenyhi. ↑ awägg, dǜǜr1, wylet, (i der) Zytt.","[auch dewyle (Dü2) ◆ Id 15,1304]"
dette,(Part.): dort (allg. / wh 164); as par Taage hie ùn as par Taage dette (fa Religion); det ay isch schöön (Si1); ↑daa. • Ra.: det dedǜǜr was das anbelangt: det dedǜǜr isch er scho a bitz a Hayduck (Ta1).,"[auch dett, det (Wü Üb1 He1 We2 OL1 Gi2 Si2 / wh 147), deerte (Gi1), dert (sds 6,101: We) ◆ zu mhd dert; erweitert wie ält. hochdt dorten (Id) ◆ Id 13,1696: in FR det, dette ]"
devaa·stùùbe,(-gstùùbet): wegrennen: i ha nüme wyter gsuecht ù bi dervagstùbet (Aeby 24); SYN: hase.,"[auch dervaa~ (Aeby) ◆ ev. «hypersenslerisch» nach stùùbe 'Staub verursachen'; die Bed 'rennen, dass es stiebt' kommt sonst nur mhd stiuben zu; schwzdt stüübe, Part. gstobe/ gstübt ◆ Id 10,1076]"
di1,"(Art.): die, vor Adj.; a) Nom. od. Akk. Sg. fem.: di tygereti Chatz, wa vori dùssen ùmma glǜffen isch (fa Chatz); b) Nom. od. Akk. Pl.: obet dùm Doerf hii di jùnge Pùrschte mit Stùmpen ù Chatzegrine gschosse (Kolly 32); ds Mäy verbrennt di löschte dürre Räschpe (pm 69); vgl. Anhang 2.",
Dingbueb ,"(m, -e): Verdingknabe, der für Kost u. Logis kl. Arbeiten verrichtet (Dü1); SYN: Pfriener~.",
devaa·schiesse,"(-gschosse): intrans., a) wegrennen (allg1 Üb2 Re2; ~ wyn a Habicht (ML1), ~ wyn a Verùckta (Re1), ~ wyn a Wǜuda (Si1); SYN: hase. b) fliehen, entwischen (ML1 Re1 Si1).","[Id 8,1357]"
dezue·springe,"(-gsprùnge): herrennen, dazustossen (He1). SYN: zùyspringe.",
dier,"(Pron.): ❶ dich, refl. (allg.); angschlaage dyer (wh 196); vgl. Anhang 2. ❷ dich, betont, Dat./Akk. des Personalpronomens ↑dùù; ù no epis, Wili, phäbs fùr dier (ms 116); ❸ ihr, betont, Lautvariante des Personalpronomens ↑ier; (d)ier hiit as schöös Yyggricht (Ss1); vgl. Anhang 2.","[3. das d- der Form dier 'ihr' erklärt sich aus Lautanalogie mit Bed.1 u. 2; überdies mag Einwirkung falscher Worttrennung mit im Spiele sein, indem Formen wie wiiter 'wollt ihr' als wiit der aufgefasst wurden (wh 196) ◆ sds 3,210]"
dischiniere,"(tischiniert): schnell essen, verschlingen (Pl1). ↑schǜble.","[Id 13,1889]"
diss, s. disa.,
Doola,"(f, -e): Dohle, schwarzer Rabenvogel mit grauem Nacken (Wü2); Doolen ù Ggaaggere sy ùmenanni gschosse (pm 103); ▲Vogḷ.",
dr2,"(Pron.): dir, unbetont; 2. Sg. Dat.: i gǜbe dr as Trùckli (pm 47); vgl. Anhang 2.",
Dräckhoḷtera ,"(f, -e): Wacholderstrauch (Üb1 Ta1 We1 OL1). ▲Struuch.","[veraltet ◆ mhd reckholter, reckolder 'Wacholder'; volksetym. zu Dräck ◆ Id 2,1188]"
drangsaliere ,"(trangsaliert): bedrängen, schikanieren (pb S-3). SYN: trǜbùliere.","[im 19. Jh. zu Drangsal 'Leiden, Bedrängnis', das zu Drang gebildet ist ◆ Id 14,1095]"
dri·schlaa ,"(-gschlaage): ❶ reinhauen, a) zuschlagen: dä het z jùschtùm drigschlaage ernsthaft zuschlagen (Dü2 Ss2); b) zertreten, zu Fall bringen (Sport / Dü2 We2); SYN: fùngge. ❷ übertr. a) viel, mit Appetit essen (He1); SYN: schǜble. b) produktiv, motiviert arbeiten (He1); [si töerffi no] nit z ruuch drischlaa bym Wärche (pb Spät95); SYN: fisle.",
drùber·brene,"(-prone): heisse, zerlaufenen Butter über Speisen giessen (Si1 / pk); mit de Schwiizi drǜberbrene (Üb2); SYN: schwiize. ↑lööse.","[Id 5,626 nur: überbränne (GR)]"
drùf·choo,"(isch -choo): herausfinden, auf die Schliche kommen: wa se ne drùff choe syn [ass si peetlet hii], het es jedùm graat no iinisch a Taag Schaarffa ggää (ar 50); SYN: arlicke.",
Drüü,"(n, -eni): ❶ eine Drei (wh 66); ❷ Dreiblatt: as Drüü vam Trùmpfaas mit de Stöck (Dü1); SYN: Drüblatt.",
drye, s. drüü.,
Dryy·strich, s. Drüüstrich.,
dùm·nandere,"(Part.): herum, umher (Gi1). SYN: ùmma.",
dǜrewägg,"(Part.): überall, durchwegs (Gi1 Re1 / wh 54, 134); dr Boden isch nit mǜnder hörta ù chrùma ù pùggleta weder dǜrewäg i dem Jamertaal (pb Isi8); ↑ Oort (an alen), wythii.",
dǜrzoge,"(-ner, -nscht): durchzogen, durchwachsen: groess Fätzene vam Horǜggstǜcki ù vam a dǜǜrzogne Riemeblätz (pm 24).",
Edḷ·wyyss,"(n, unveränd.): Edelweiss (allg.). ▲Meie.",
eener,"(Part.): a) eher, zuvor (allg. / wh 169, 176, 193); si isch eener aachoo (Si1). ↑zeersch. b) früher: eener sy grossi Fueder Chabis ù Häpere vam ùnnerlann wùha gfaare (pm 19). • Ra.: eener vǜri früher, einst (Wü2 Fr1 Ta1 He2 Si1); das Wort «Chnächtetoed» han i eener vǜri no mithii köert (pb Isi9); ↑zäḷbisch.",[auch eender (Wü2 Fr1 He2 Si1 / wh)]
eerpe,"(gg-t): erben, Vermögen, Charakter, ansteckende Krankheit, etc. (allg.); wär hetti das (...) gglùùbt, ass is va iim no iinisch epis z öerpe gäbi (pb Isi76).","[auch öörpe (pb), heute meist eerbe (Fr1 Ta1 We1 Si1 Ss1 allg2)]"
Ega,"(f, -e): Egge (Wü2 Si2 Pl2 Ss2). SYN: Eggta.",
Egg·pfoschte,"(m, -ö-): Eckpfeiler des Hauses (Anderegg 1,268). SYN: Winkḷpfoschte.",
Eierblüemli,"(n, -eni): gelbblühende Blume, bes. Troll-, Sumpfdotterblume (sds 6,117f: Gu). ↑Ankebunya.","[Id 5,72]"
eis, s. iis.,
Eḷtere, s. Öḷtere.,
enas,"(Art.): eines, ein, betont; Akk. neutr.: ùf enas Tach wùy (Pl1); vgl. Anhang 2.",
Engḷ·haar,"(n, unveränd.): haarfeine Fäden als Christbaumschmuck: [Josi het] gschmaalets Höi gnoo ù hets wy Engelhaar ǜber ds Bǜǜmeli gheicht (pm 117); SYN: Glaasbennli.",[fehlt in Ma-Wbb]
entlich,"(Part.): endlich (allg. / wh 76). • Ra.: entlich afe endlich einmal (sds 6,28: He).",[auch äntlich (Gu)]
er~, s. auch ar~.,
es,"(Pron.): es, unbetont, 3. Sg. neutr. Nom.: was het es gsiit? (Dü1 / wh 199); vgl. Anhang 2.",
Essig,"(m, kein Pl.): a) Essig (allg.); SYN: Echiss. ZSS: Öpfḷ~, Wyy~. b) saurer, schlechter Wein (humor. / Ta1); SYN: Chùttlerugger. ↑Wyy1.",
eueri, s. öyi.,
Fääger,"(m, -e): ❶ a) reinigende Person. ZSS: Chemi~. b) aktive, unruhige Person (Gu1 Dü1 Wü1 ML1 OL1 Re2 Pl2); c) Streiche ausheckende, gewitzte Person (Dü1 Wü2 Üb1 Fr1 Ta1 / wh 104); vgl. Anhang 1. ❷ ausgezeichnete Karten beim Jassen: dù hesch mer a wäuts Fääger ggää (Ta2); SYN: Bääse. ↑Jass.","[auch Fäger (wh) ◆ zu mhd fëgen 'scheuern, fegen' ◆ Id 1,687]"
